啊 啊 娿
阿 阿 婀
埃 埃 埃
挨 挨 挨
哎 哎 餀
唉 唉 呃
哀 哀 哀
皑 皚 皑
癌 癌 癌
蔼 藹 蔼
矮 矮 婑
艾 艾 銰
碍 礙 碍
爱 愛 嬡
隘 隘 隘
鞍 鞍 鞍
氨 氨 氨
安 安 鮟
俺 俺 唵
按 按 洝
暗 暗 暗
岸 岸 岸
胺 胺 胺
案 案 案
肮 肮 肮
昂 昂 昻
盎 盎 盎
凹 凹 凹
敖 敖 獓
熬 熬 熬
翱 翺 翱
袄 襖 仸
傲 傲 謸
奥 奧 奧
懊 懊 襖
澳 澳 奧
芭 芭 妑
捌 捌 捌
扒 扒 朳
叭 叭 朳
吧 吧 妑
笆 笆 笆
八 八 仈
疤 疤 疤
巴 巴 妑
拔 拔 菝
跋 跋 柭
靶 靶 靶
把 把 妑
耙 耙 耙
坝 壩 坝
霸 霸 覇
罢 罷 罢
爸 爸 妑
白 白 皛
柏 柏 柏
百 百 咟
摆 擺 擺
佰 佰 佰
败 敗 敗
拜 拜 湃
稗 稗 稗
斑 斑 癍
班 班 癍
搬 搬 搬
扳 扳 扳
般 般 瘢
颁 頒 頒
板 板 闆
版 版 蝂
扮 扮 汾
拌 拌 絆
伴 伴 柈
瓣 瓣 瓣
半 半 柈
办 辦 刅
绊 絆 绊
邦 邦 綁
帮 幫 幇
梆 梆 梆
榜 榜 徬
膀 膀 嫎
绑 綁 垹
棒 棒 蜯
磅 磅 嫎
蚌 蚌 蚌
镑 鎊 镑
傍 傍 徬
谤 謗 谤
苞 苞 苞
胞 胞 菢
包 包 笣
褒 褒 褒
剥 剝 剝
薄 薄 薄
雹 雹 雹
保 保 湺
堡 堡 堡
饱 飽 怉
宝 寶 寶
抱 抱 砲
报 報 蕔
暴 暴 懪
豹 豹 豹
鲍 鮑 鲍
爆 爆 嚗
杯 杯 柸
碑 碑 碑
悲 悲 蕜
卑 卑 萆
北 北 苝
辈 輩 輩
背 背 揹
贝 貝 赑
钡 鋇 钡
倍 倍 俻
狈 狽 狈
备 備 備
惫 憊 惫
焙 焙 焙
被 被 被
奔 奔 渀
苯 苯 苯
本 本 夲
笨 笨 苯
崩 崩 镚
绷 繃 绷
甭 甭 甭
泵 泵 泵
蹦 蹦 嘣
迸 迸 逬
逼 逼 腷
鼻 鼻 嬶
比 比 仳
鄙 鄙 啚
笔 筆 毣
彼 彼 彼
碧 碧 碧
蓖 蓖 蓖
蔽 蔽 幣
毕 畢 滭
毙 斃 斃
毖 毖 毖
币 幣 币
庇 庇 庇
痹 痹 痹
闭 閉 閉
敝 敝 獙
弊 弊 弊
必 必 怭
辟 辟 澼
壁 壁 壁
臂 臂 臂
避 避 鐴
陛 陛 陛
鞭 鞭 鞭
边 邊 笾
编 編 揙
贬 貶 貶
扁 扁 碥
便 便 楩
变 變 變
卞 卞 卞
辨 辨 辧
辩 辯 辮
辫 辮 辮
遍 遍 猵
标 標 摽
彪 彪 滮
膘 膘 鏢
表 表 錶
鳖 鼈 鳖
憋 憋 憋
别 別 莂
瘪 癟 癟
彬 彬 彬
斌 斌 斌
濒 瀕 濒
滨 濱 璸
宾 賓 濱
摈 擯 摈
兵 兵 娦
冰 冰 栤
柄 柄 窉
丙 丙 眪
秉 秉 秉
饼 餅 饼
炳 炳 炳
病 病 疒
并 並 並
玻 玻 箥
菠 菠 菠
播 播 譒
拨 撥 妭
钵 缽 钵
波 波 菠
博 博 博
勃 勃 勃
搏 搏 搏
铂 鉑 铂
箔 箔 箔
伯 伯 伯
帛 帛 帛
舶 舶 舶
脖 脖 脖
膊 膊 膊
渤 渤 渤
泊 泊 泊
驳 駁 訤
捕 捕 峬
卜 蔔 卜
哺 哺 誧
补 補 卟
埠 埠 埠
不 不 芣
布 布 鈽
步 步 荹
簿 簿 簿
部 部 蔀
怖 怖 怖
擦 擦 攃
猜 猜 猜
裁 裁 裁
材 材 財
才 才 財
财 財 財
睬 睬 棌
踩 踩 棌
采 采 采
彩 彩 埰
菜 菜 婇
蔡 蔡 蔡
餐 餐 爘
参 參 傪
蚕 蠶 蛬
残 殘 殘
惭 慚 慙
惨 慘 參
灿 燦 灿
苍 蒼 芲
舱 艙 舱
仓 倉 仺
沧 滄 獊
藏 藏 蔵
操 操 懆
糙 糙 鐰
槽 槽 槽
曹 曹 蓸
草 草 愺
厕 廁 厠
策 策 憡
侧 側 側
册 冊 冊
测 測 恻
层 層 層
蹭 蹭 竲
插 插 揷
叉 叉 紁
茬 茬 茬
茶 茶 嗏
查 查 楂
碴 碴 楂
搽 搽 搽
察 察 镲
岔 岔 岔
差 差 槎
诧 詫 诧
拆 拆 拆
柴 柴 枈
豺 豺 豺
搀 攙 搀
掺 摻 傪
蝉 蟬 蝉
馋 饞 镵
谗 讒 谗
缠 纏 瀍
铲 鏟 铲
产 産 浐
阐 闡 闡
颤 顫 顫
昌 昌 誯
猖 猖 猖
场 場 畼
尝 嘗 甞
常 常 瑺
长 長 萇
偿 償 偿
肠 腸 肠
厂 廠 廠
敞 敞 敞
畅 暢 畅
唱 唱 晿
倡 倡 倡
超 超 趫
抄 抄 莏
钞 鈔 鈔
朝 朝 謿
嘲 嘲 謿
潮 潮 謿
巢 巢 漅
吵 吵 訬
炒 炒 炒
车 車 車
扯 扯 扯
撤 撤 徹
掣 掣 掣
彻 徹 沏
澈 澈 瞮
郴 郴 郴
臣 臣 烥
辰 辰 宸
尘 塵 尘
晨 晨 曟
忱 忱 忱
沉 沈 冗
陈 陳 陳
趁 趁 趁
衬 襯 衬
撑 撐 撐
称 稱 稱
城 城 峸
橙 橙 橙
成 成 荿
呈 呈 珵
乘 乘 塖
程 程 珵
惩 懲 懲
澄 澄 僜
诚 誠 諴
承 承 承
逞 逞 浧
骋 騁 骋
秤 秤 秤
吃 吃 阣
痴 癡 痴
持 持 歭
匙 匙 匙
池 池 肔
迟 遲 呎
弛 弛 肔
驰 馳 肔
耻 恥 恥
齿 齒 歯
侈 侈 侈
尺 尺 呎
赤 赤 哧
翅 翅 趐
斥 斥 斥
炽 熾 炽
充 充 茺
冲 沖 沖
虫 蟲 蟲
崇 崇 漴
宠 寵 寵
抽 抽 菗
酬 酬 絒
畴 疇 帱
踌 躊 帱
稠 稠 婤
愁 愁 僽
筹 籌 薵
仇 仇 仇
绸 綢 皗
瞅 瞅 瞅
丑 醜 忸
臭 臭 溴
初 初 初
出 出 炪
橱 櫥 廚
厨 廚 廚
躇 躇 躇
锄 鋤 鋤
雏 雛 雛
滁 滁 蒢
除 除 篨
楚 楚 椘
础 礎 绌
储 儲 储
矗 矗 矗
搐 搐 搐
触 觸 触
处 處 處
揣 揣 遄
川 川 巛
穿 穿 瑏
椽 椽 椽
传 傳 伝
船 船 船
喘 喘 遄
串 串 賗
疮 瘡 疮
窗 窗 囱
幢 幢 幢
床 床 床
闯 闖 闖
创 創 創
吹 吹 欥
炊 炊 炊
捶 捶 腄
锤 錘 腄
垂 垂 箠
春 春 舂
椿 椿 椿
醇 醇 錞
唇 唇 脣
淳 淳 錞
纯 純 蒓
蠢 蠢 蠢
戳 戳 戥
绰 綽 焯
疵 疵 疵
茨 茨 垐
磁 磁 濨
雌 雌 雌
辞 辭 辭
慈 慈 濨
瓷 瓷 瓷
词 詞 詞
此 此 泚
刺 刺 剌
赐 賜 賜
次 次 佽
聪 聰 聪
葱 蔥 茐
囱 囪 囱
匆 匆 茐
从 從 苁
丛 叢 苁
凑 湊 凑
粗 粗 粗
醋 醋 齰
簇 簇 簇
促 促 娖
蹿 躥 蹿
篡 篡 篡
窜 竄 窜
摧 摧 凗
崔 崔 慛
催 催 慛
脆 脆 脆
瘁 瘁 瘁
粹 粹 濢
淬 淬 濢
翠 翠 濢
村 村 籿
存 存 洊
寸 寸 籿
磋 磋 磋
撮 撮 撮
搓 搓 髊
措 措 措
挫 挫 挫
错 錯 措
搭 搭 溚
达 達 垯
答 答 荅
瘩 瘩 瘩
打 打 咑
大 大 汏
呆 呆 槑
歹 歹 歹
傣 傣 傣
戴 戴 瀻
带 帶 帶
殆 殆 殆
代 代 笩
贷 貸 贷
袋 袋 袋
待 待 待
逮 逮 曃
怠 怠 怠
耽 耽 耽
担 擔 泹
丹 丹 冄
单 單 啴
郸 鄲 郸
掸 撣 掸
胆 膽 狚
旦 旦 狚
氮 氮 氮
但 但 泹
惮 憚 惮
淡 淡 惔
诞 誕 诞
弹 彈 弹
蛋 蛋 疍
当 當 當
挡 擋 澢
党 黨 黨
荡 蕩 蕩
档 檔 澢
刀 刀 叨
捣 搗 搗
蹈 蹈 稲
倒 倒 箌
岛 島 島
祷 禱 祷
导 導 导
到 到 菿
稻 稻 稲
悼 悼 悼
道 道 檤
盗 盜 盜
德 德 徳
得 得 嘚
的 的 哋
蹬 蹬 簦
灯 燈 燈
登 登 憕
等 等 等
瞪 瞪 簦
凳 凳 凳
邓 鄧 郰
堤 堤 諟
低 低 彽
滴 滴 嘀
迪 迪 廸
敌 敵 敵
笛 笛 廸
狄 狄 狄
涤 滌 涤
翟 翟 翟
嫡 嫡 嫡
抵 抵 抵
底 底 疧
地 地 哋
蒂 蒂 渧
第 第 苐
帝 帝 渧
弟 弟 弚
递 遞 递
缔 締 缔
颠 顛 颠
掂 掂 掂
滇 滇 滇
碘 碘 碘
点 點 點
典 典 敟
靛 靛 靛
垫 墊 垫
电 電 電
佃 佃 佃
甸 甸 甸
店 店 扂
惦 惦 惦
奠 奠 奠
淀 澱 淀
殿 殿 殿
碉 碉 淍
叼 叼 汈
雕 雕 鵰
凋 凋 蜩
刁 刁 刁
掉 掉 鋽
吊 吊 铞
钓 釣 銱
调 調 蜩
跌 跌 瓞
爹 爹 嗲
碟 碟 渫
蝶 蝶 渫
迭 叠 迭
谍 諜 媟
叠 疊 疉
丁 丁 玎
盯 盯 饤
叮 叮 汀
钉 釘 町
顶 頂 嵿
鼎 鼎 鼎
锭 錠 锭
定 定 萣
订 訂 忊
丢 丟 丟
东 東 崬
冬 冬 笗
董 董 蓳
懂 懂 慬
动 動 憅
栋 棟 崬
侗 侗 侗
恫 恫 恫
冻 凍 岽
洞 洞 狪
兜 兜 兠
抖 抖 鬦
斗 鬥 乧
陡 陡 跿
豆 豆 荳
逗 逗 浢
痘 痘 哣
都 都 嘟
督 督 督
毒 毒 毐
犊 犢 渎
独 獨 獨
读 讀 渎
堵 堵 陼
睹 睹 睹
赌 賭 帾
杜 杜 荰
镀 鍍 镀
肚 肚 肚
度 度 喥
渡 渡 喥
妒 妒 妒
端 端 鍴
短 短 短
锻 鍛 葮
段 段 葮
断 斷 斷
缎 緞 葮
堆 堆 碓
兑 兌 兌
队 隊 隊
对 對 怼
墩 墩 墩
吨 噸 沌
蹲 蹲 壿
敦 敦 敦
顿 頓 頓
囤 囤 囤
钝 鈍 沌
盾 盾 盾
遁 遁 遁
掇 掇 掇
哆 哆 哆
多 多 哆
夺 奪 奪
垛 垛 垛
躲 躲 躱
朵 朵 朶
跺 跺 跺
舵 舵 舵
剁 剁 剁
惰 惰 媠
堕 墮 憜
蛾 蛾 睋
峨 峨 睋
鹅 鵝 鹅
俄 俄 皒
额 額 额
讹 訛 讹
娥 娥 皒
恶 惡 悪
厄 厄 苊
扼 扼 扼
遏 遏 遏
鄂 鄂 鄂
饿 餓 皒
恩 恩 慁
而 而 洏
儿 兒 ル
耳 耳 洱
尔 爾 尒
饵 餌 聶
洱 洱 洱
二 二 ②
贰 貳 贰
发 發 潑
罚 罰 藅
筏 筏 筏
伐 伐 浌
乏 乏 疺
阀 閥 阀
法 法 琺
珐 琺 珐
藩 藩 藩
帆 帆 汎
番 番 畨
翻 翻 飜
樊 樊 樊
矾 礬 矾
钒 釩 钒
繁 繁 瀿
凡 凡 汎
烦 煩 煩
反 反 反
返 返 返
范 範 笵
贩 販 贩
犯 犯 氾
饭 飯 粄
泛 泛 疺
坊 坊 汸
芳 芳 淓
方 方 汸
肪 肪 肪
房 房 房
防 防 汸
妨 妨 妨
仿 仿 汸
访 訪 汸
纺 紡 汸
放 放 倣
菲 菲 婔
非 非 悱
啡 啡 啡
飞 飛 飛
肥 肥 萉
匪 匪 厞
诽 誹 诽
吠 吠 吠
肺 肺 腓
废 廢 廢
沸 沸 沸
费 費 曊
芬 芬 棼
酚 酚 酚
吩 吩 玢
氛 氛 氛
分 分 汾
纷 紛 妢
坟 墳 墳
焚 焚 焚
汾 汾 汾
粉 粉 帉
奋 奮 奮
份 份 妢
忿 忿 忿
愤 憤 濆
粪 糞 粪
丰 豐 仹
封 封 崶
枫 楓 猦
蜂 蜂 蜂
峰 峰 峯
锋 鋒 峯
风 風 颩
疯 瘋 瘋
烽 烽 烽
逢 逢 漨
冯 馮 溤
缝 縫 漨
讽 諷 讽
奉 奉 唪
凤 鳳 鳯
佛 佛 仏
否 否 娝
夫 夫 玞
敷 敷 敷
肤 膚 膚
孵 孵 孵
扶 扶 荴
拂 拂 拂
辐 輻 辐
幅 幅 諨
氟 氟 氟
符 符 苻
伏 伏 茯
俘 俘 俘
服 服 棴
浮 浮 捊
涪 涪 涪
福 福 湢
袱 袱 袱
弗 弗 弗
甫 甫 甫
抚 撫 抚
辅 輔 辅
俯 俯 椨
釜 釜 釜
斧 斧 釡
脯 脯 脯
腑 腑 腑
府 府 椨
腐 腐 腐
赴 赴 赴
副 副 諨
覆 覆 覆
赋 賦 賦
复 複 復
傅 傅 傅
付 付 苻
阜 阜 阜
父 父 父
腹 腹 腹
负 負 萯
富 富 冨
讣 訃 讣
附 附 胕
妇 婦 妇
缚 縛 缚
咐 咐 咐
噶 噶 噶
嘎 嘎 嗄
该 該 姟
改 改 妀
概 概 漑
钙 鈣 鈣
盖 蓋 葢
溉 溉 漑
干 幹 迀
甘 甘 苷
杆 杆 杆
柑 柑 柑
竿 竿 芉
肝 肝 肝
赶 趕 迀
感 感 憾
秆 稈 秆
敢 敢 噉
赣 贛 赣
冈 岡 罓
刚 剛 碙
钢 鋼 鋼
缸 缸 矼
肛 肛 釭
纲 綱 罁
岗 崗 罓
港 港 港
杠 杠 釭
篙 篙 禞
皋 臯 皋
高 高 滈
膏 膏 膏
羔 羔 餻
糕 糕 溔
搞 搞 鎬
镐 鎬 鎬
稿 稿 鎬
告 告 哠
哥 哥 滒
歌 歌 戨
搁 擱 擱
戈 戈 戈
鸽 鴿 鸽
胳 胳 胳
疙 疙 疙
割 割 剨
革 革 愅
葛 葛 噶
格 格 咯
蛤 蛤 蛤
阁 閣 阁
隔 隔 隔
铬 鉻 铬
个 個 個
各 各 茖
给 給 给
根 根 艮
跟 跟 茛
耕 耕 畊
更 更 浭
庚 庚 菮
羹 羹 羹
埂 埂 埂
耿 耿 耿
梗 梗 梗
工 工 笁
攻 攻 糼
功 功 糼
恭 恭 塨
龚 龔 龚
供 供 栱
躬 躬 匑
公 公 厷
宫 宮 営
弓 弓 弖
巩 鞏 巩
汞 汞 汞
拱 拱 珙
贡 貢 貢
共 共 珙
钩 鈎 溝
勾 勾 芶
沟 溝 芶
苟 苟 苟
狗 狗 豞
垢 垢 垢
构 構 媾
购 購 媾
够 夠 夠
辜 辜 辜
菇 菇 菇
咕 咕 咕
箍 箍 箍
估 估 诂
沽 沽 钴
孤 孤 箛
姑 姑 菇
鼓 鼓 鼔
古 古 咕
蛊 蠱 蛊
骨 骨 嗗
谷 谷 唂
股 股 骰
故 故 诂
顾 顧 顧
固 固 凅
雇 雇 雇
刮 刮 剮
瓜 瓜 呱
剐 剮 剮
寡 寡 寡
挂 挂 啩
褂 褂 啩
乖 乖 乖
拐 拐 枴
怪 怪 怪
棺 棺 菅
关 關 関
官 官 菅
冠 冠 蒄
观 觀 觀
管 管 涫
馆 館 菅
罐 罐 潅
惯 慣 遦
灌 灌 潅
贯 貫 遦
光 光 洸
广 廣 広
逛 逛 迋
瑰 瑰 瑰
规 規 規
圭 圭 圭
硅 矽 硅
归 歸 歸
龟 龜 亀
闺 閨 閨
轨 軌 匦
鬼 鬼 媿
诡 詭 詭
癸 癸 癸
桂 桂 蓕
柜 櫃 匱
跪 跪 蛫
贵 貴 貴
刽 劊 刽
辊 輥 辊
滚 滾 蔉
棍 棍 輥
锅 鍋 煱
郭 郭 漷
国 國 國
果 果 淉
裹 裹 裹
过 過 過
哈 哈 铪
骸 骸 骸
孩 孩 陔
海 海 嗨
氦 氦 氦
亥 亥 亥
害 害 嗐
骇 駭 骇
酣 酣 酣
憨 憨 憨
邯 邯 邯
韩 韓 韓
含 含 浛
涵 涵 凾
寒 寒 寒
函 函 凾
喊 喊 諴
罕 罕 癷
翰 翰 翰
撼 撼 撼
捍 捍 捍
旱 旱 猂
憾 憾 憾
悍 悍 悍
焊 焊 猂
汗 汗 汙
汉 漢 漢
夯 夯 夯
杭 杭 忼
航 航 航
壕 壕 壕
嚎 嚎 嚎
豪 豪 濠
毫 毫 毫
郝 郝 郝
好 好 恏
耗 耗 秏
号 號 呺
浩 浩 滘
呵 呵 哬
喝 喝 曷
荷 荷 嗬
菏 菏 菏
核 核 劾
禾 禾 秝
和 和 啝
何 何 哬
合 合 匼
盒 盒 盉
貉 貉 貉
阂 閡 阂
河 河 菏
涸 涸 涸
赫 赫 赫
褐 褐 褐
鹤 鶴 鹤
贺 賀 哿
嘿 嘿 潶
黑 黑 嫼
痕 痕 痕
很 很 佷
狠 狠 哏
恨 恨 悢
哼 哼 涥
亨 亨 悙
横 橫 橫
衡 衡 蘅
恒 恒 恆
轰 轟 轟
哄 哄 晎
烘 烘 烘
虹 虹 渱
鸿 鴻 鴻
洪 洪 葓
宏 宏 宖
弘 弘 宖
